Id,Prediction
0,0
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,0
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,1
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,1
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,0
482,1
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,0
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,0
529,1
530,1
531,0
